nonhsat090275.2,glioma
nonhsat130416.2,atherosclerosis
nonhsat130416.2,cancer
nonhsat130416.2,periodontitis
nonhsat130416.2,prostat
nonhsat138911.2,fragile x syndrome
nonhsat034253.2,human spinocerebellar ataxia type 8
nonhsat034253.2,spinocerebellar ataxia type 8
nonhsat024403.2,alzheimer's disease
nonhsat024403.2,inclusion body myositis
nonhsat131776.2,melanoma
nonhsat131776.2,non-small cell lung cancer
nonhsat140597.2,breast cancer
nonhsat070566.2,aging
nonhsat070566.2,alzheimer's disease
nonhsat070566.2,breast cancer
nonhsat070566.2,cervical cancer
nonhsat070566.2,lung cancer
nonhsat070566.2,oesophagus cancer
nonhsat070566.2,ovarian cancer
nonhsat070566.2,parotid cancer
nonhsat070566.2,tongue cancer
nonhsat018496.2,depression
nonhsat018496.2,huntington's disease
nonhsat018496.2,psychiatric disease
nonhsat018496.2,schizophrenia
nonhsat018496.2,obesity
nonhsat077946.2,cancer
nonhsat077946.2,testicular cancer
nonhsat092348.2,blepharophimosis syndrome
nonhsat016554.2,endometrial cancer
nonhsat081949.2,carcinoma
nonhsat081949.2,prostat
nonhsat129116.2,glioma
nonhsat130416.2,abdominal aortic aneurysm
nonhsat130416.2,acute lymphoblastic leukemia
nonhsat130416.2,alzheimer's disease
nonhsat130416.2,aortic aneurysm
nonhsat130416.2,basal cell carcinoma
nonhsat130416.2,breast cancer
nonhsat130416.2,cardiovascular disease
nonhsat130416.2,coronary artery disease
nonhsat130416.2,coronary disease
nonhsat130416.2,coronary heart disease
nonhsat130416.2,diabetes
nonhsat130416.2,endometriosis
nonhsat130416.2,esophageal squamous cell cancer
nonhsat130416.2,familial and sporadic intracranial aneurysms
nonhsat130416.2,frailty
nonhsat130416.2,gastric cancer
nonhsat130416.2,glaucoma
nonhsat130416.2,glioma
nonhsat130416.2,hereditary cutaneous malignant melanoma
nonhsat130416.2,intracranial aneurism
nonhsat130416.2,ischemic stroke
nonhsat130416.2,leukemia
nonhsat130416.2,melanoma
nonhsat130416.2,myocardial infarction
nonhsat130416.2,nasopharyngeal carcinoma
nonhsat130416.2,neural system tumors syndrome
nonhsat130416.2,neurofibromatosis type 1
nonhsat130416.2,peripheral artery disease
nonhsat130416.2,plexiform neurofibroma
nonhsat130416.2,stroke
nonhsat130416.2,tumor
nonhsat130416.2,type 2 diabetes
